Wines,Points,Year
Weingut Emrich-Schonleber Monzinger Halenberg Riesling Grosses Gewachs,94 ,2018 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,93 ,2018 
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese,91 ,2018 
Domaine Zind-Humbrecht Riesling Brand,95 ,2018 
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,95 ,2018 
Dr. Burklin-Wolf Forster Pechstein G.C. Riesling Trocken,0,2018 
Pewsey Vale Dry Riesling,90 ,2018 
Weingut Donnhoff 'Felsenturmchen' Schlossbockelheimer Felsenberg Riesling Grosses Gewachs,93 ,2018 
Weingut Keller Limestone Riesling,91 ,2018 
Domaine Weinbach Riesling Schlossberg,93 ,2018 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,95 ,2018 
Egon Muller Scharzhofberger Riesling Auslese Goldkapsel,96 ,2018 
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,93 ,2018 
A. Christmann Konigsbacher Idig Riesling Grosses Gewachs,92 ,2018 
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Spatlese,93 ,2018 
Weingut Donnhoff Oberhauser Leistenberg Riesling Kabinett,91 ,2018 
Dr. Loosen Wehlener Sonnenuhr Alte Reben Riesling Grosses Gewachs,92 ,2018 
Weingut Keller Riesling Trocken,90 ,2018 
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Goldkapsel,91 ,2018 
Loosen Bros Dr. L Riesling,0,2021 
Weingut Max Ferd. Richter Zeppelin Label Mulheimer Sonnenlay Riesling,0,2021 
Pikes 'The Merle' Reserve Riesling,95 ,2021 
Domane Wachau - Freie Weingartner Terrassen Riesling Federspiel,90 ,2021 
J. Baumer Rheingau Riesling,0,2021 
Pikes Hills & Valleys Riesling,0,2021 
Bodega Amalaya 'Blanco Dulce de Corte' Torrontes - Riesling,0,2021 
Weingut Fritz Allendorf Save Water Drink Riesling Alcohol Free Wine,0,2021 
Weingut Tom Dockner Inzersdorf Riesling,0,2021 
A. Diehl Eins Zu Eins Riesling Kabinett Trocken,0,2021 
Marlborough Sun Riesling,0,2021 
Maurice Schueller Riesling,0,2021 
Maurice Schueller Riesling Vieilles Vignes,0,2021 
Weinbiet Riesling Classic,0,2021 
Weingut Erich Scheiblhofer Welschriesling Classc,0,2021 
Weingut Winzer Krems Riesling 'von den Terrassen',0,2021 
Heiderer Mayer Wagramer Selektion Riesling,0,2021 
Franz Hahn Riesling Spatlese Trocken,0,2021 
